order_id,customer_id,order_date,dispatch_date,product_id,batch_id,quantity_sold,sales_value,delivery_region
O-01074,C-007,2025-02-17,2025-02-18,P-037,,48,354.72,Waikato
O-01542,C-042,2025-02-17,2025-02-19,P-047,B-0096,36,462.24,Wellington
O-00243,C-056,2025-02-18,2025-02-19,P-007,B-0094,24,137.76,Canterbury
O-00942,C-065,2025-02-18,2025-02-21,P-013,B-0205,12,39.24,Auckland
O-01464,C-012,2025-02-18,2025-02-19,P-030,B-0058,6,13.38,Auckland
O-00140,C-047,2025-02-19,2025-02-22,P-034,B-0281,12,33.48,Auckland
O-00756,C-045,2025-02-19,2025-02-21,P-049,,72,549.36,Canterbury
O-00857,C-035,2025-02-19,,P-045,B-0179,72,348.48,Canterbury
O-00512,C-009,2025-02-20,2025-02-21,P-019,B-0166,36,211.68,Auckland
O-00667,C-016,2025-02-20,2025-02-23,P-014,,12,72.6,Canterbury
O-00277,C-043,2025-02-21,2025-02-22,P-048,B-0282,48,335.52,Otago
O-01229,C-065,2025-02-21,2025-02-21,P-030,B-0144,12,26.76,Auckland
O-01596,C-059,2025-02-21,2025-02-24,P-045,B-0123,12,58.08,Waikato
O-00041,C-043,2025-02-22,2025-02-24,P-025,B-0294,24,228.24,Otago
O-00954,C-025,2025-02-22,2025-02-25,P-041,B-0254,36,257.04,Canterbury
O-01293,C-003,2025-02-22,2025-02-23,P-039,B-0155,24,164.39,Wellington
O-00002,C-047,2025-02-23,2025-02-23,P-035,B-0227,36,141.84,Canterbury
O-00038,C-065,2025-02-23,2025-02-26,P-047,B-0119,36,462.24,Auckland
O-01470,C-035,2025-02-23,2025-02-23,P-037,B-0161,12,88.68,Canterbury
O-01743,C-035,2025-02-23,2025-02-26,P-030,B-0047,36,80.28,Bay of Plenty
O-00248,C-019,2025-02-24,2025-02-26,P-019,,24,134.06,Canterbury
O-00682,C-061,2025-02-24,2025-02-26,P-039,B-0297,24,164.39,Auckland
O-01028,C-026,2025-02-24,2025-02-25,P-017,B-0223,6,29.58,Waikato
O-00955,C-002,2025-02-25,2025-02-25,P-020,B-0124,36,226.8,Canterbury
O-00781,C-013,2025-02-26,2025-02-28,P-024,,6,30.44,Canterbury
O-00575,C-067,2025-02-27,2025-03-02,P-030,,72,160.56,Otago
O-01073,C-017,2025-02-27,2025-02-28,P-050,B-0114,6,24.6,Auckland
O-01230,C-051,2025-02-27,2025-03-02,P-008,B-0290,36,86.4,Otago
O-00596,C-004,2025-02-28,2025-02-28,P-029,,72,141.84,Otago
O-00760,C-038,2025-02-28,2025-02-28,P-028,B-0061,6,35.7,Wellington
O-01473,C-021,2025-02-28,2025-03-01,P-020,B-0124,36,215.46,Auckland
O-00356,C-069,2025-03-01,2025-03-03,P-003,B-0044,48,287.52,Bay of Plenty
O-00545,C-004,2025-03-01,2025-03-02,P-007,B-0052,36,206.64,Otago
O-01174,C-022,2025-03-01,2025-03-03,P-017,B-0215,6,29.58,Bay of Plenty
O-01381,C-002,2025-03-01,2025-03-02,P-011,B-0298,48,244.8,Canterbury
O-01411,C-070,2025-03-01,2025-03-04,P-035,B-0049,48,189.12,Otago
O-00331,C-041,2025-02-03,2025-02-04,P-048,B-0282,24,167.76,Wellington
O-00629,C-044,2025-03-02,2025-03-04,P-028,B-0061,48,285.6,Otago
O-01487,C-034,2025-03-02,2025-03-05,P-012,,72,280.08,Auckland
O-00162,C-058,2025-03-03,2025-03-03,P-036,B-0260,72,387.36,Canterbury
O-00236,C-001,2025-03-03,2025-03-03,P-049,B-0031,12,86.98,Auckland
O-00420,C-041,2025-03-03,2025-03-04,P-029,,6,11.82,Auckland
O-00598,C-052,2025-03-03,2025-03-05,P-051,,6,28.5,Bay of Plenty
O-00606,C-051,2025-03-03,2025-03-06,P-001,B-0025,12,72.36,Otago
O-01017,C-025,2025-03-03,2025-03-04,P-046,B-0078,36,473.04,Canterbury
O-01289,C-024,2025-03-03,2025-03-04,P-045,B-0135,24,110.35,Bay of Plenty
O-01521,C-018,2025-03-03,2025-03-03,P-034,B-0008,6,16.74,Auckland
O-01741,C-044,2025-03-03,,P-021,B-0098,24,235.2,Otago
O-00271,C-068,2025-03-04,2025-03-07,P-048,B-0174,12,79.69,Waikato
O-00673,C-022,2025-03-04,2025-03-06,P-044,B-0262,36,178.2,Canterbury
O-00316,C-062,2025-03-07,2025-03-07,P-037,,24,177.36,Wellington
O-00372,C-015,2025-03-07,2025-03-07,P-031,B-0219,36,114.84,Auckland
O-00431,C-014,2025-03-07,2025-03-07,P-039,B-0297,48,346.08,Canterbury
O-00603,C-002,2025-03-07,2025-03-10,P-014,,12,72.6,Canterbury
O-00779,C-042,2025-03-07,2025-03-09,P-016,B-0071,24,146.4,Waikato
O-00926,C-038,2025-03-07,2025-03-10,P-012,B-0299,48,186.72,Wellington
O-01239,C-049,2025-03-07,2025-03-10,P-010,,12,20.52,Canterbury
O-01337,C-023,2025-03-07,2025-03-08,P-049,B-0246,48,366.24,Auckland
O-01589,C-026,2025-03-07,2025-03-10,P-049,B-0225,24,183.12,Waikato
O-01635,C-005,2025-03-07,2025-03-09,P-038,B-0152,48,153.22,Wellington
O-01261,C-022,2025-03-08,2025-03-09,P-037,B-0188,12,88.68,Canterbury
O-01640,C-044,2025-03-08,2025-03-11,P-034,B-0202,48,133.92,Otago
O-00134,C-027,2025-03-09,2025-03-09,P-016,B-0075,24,146.4,Otago
O-00564,C-020,2025-03-09,2025-03-11,P-050,B-0043,36,147.6,Auckland
O-00823,C-003,2025-03-09,,P-045,B-0074,36,165.53,Wellington
O-01350,C-044,2025-03-09,2025-03-11,P-036,B-0034,12,64.56,Otago
O-00949,C-069,2025-03-10,2025-03-13,P-025,B-0128,36,342.36,Bay of Plenty
O-01536,C-008,2025-03-10,2025-03-11,P-046,B-0122,36,449.39,Wellington
O-00772,C-056,2025-03-11,2025-03-13,P-018,,6,26.58,Canterbury
O-00842,C-034,2025-03-11,,P-020,,72,430.92,Auckland
O-00996,C-032,2025-03-11,2025-03-13,P-039,B-0244,48,328.78,Auckland
O-01272,C-031,2025-03-11,2025-03-14,P-020,B-0124,24,143.64,Otago
O-00024,C-023,2025-03-12,2025-03-14,P-001,B-0187,72,434.16,Auckland
O-00136,C-014,2025-03-12,2025-03-15,P-033,B-0010,72,604.8,Canterbury
O-00425,C-016,2025-03-13,2025-03-16,P-035,B-0164,48,179.66,Canterbury
O-01152,C-015,2025-03-13,2025-03-14,P-034,B-0279,12,33.48,Auckland
O-01224,C-046,2025-03-13,2025-03-15,P-010,B-0091,6,9.75,Auckland
O-01594,C-015,2025-03-13,2025-03-15,P-023,B-0079,24,127.2,Auckland
O-00465,C-010,2025-03-14,2025-03-15,P-021,B-0167,36,352.8,Canterbury
O-01310,C-068,2025-03-14,,P-042,B-0102,24,78.48,Waikato
O-01362,C-064,2025-03-14,2025-03-16,P-032,,48,198.24,Auckland
O-00004,C-040,2025-03-15,2025-03-17,P-038,B-0242,36,120.96,Otago
O-00112,C-057,2025-03-15,2025-03-16,P-036,B-0034,12,64.56,Auckland
O-00267,C-035,2025-03-15,2025-03-17,P-025,B-0294,48,456.48,Canterbury
O-00893,C-018,2025-03-15,2025-03-15,P-049,,36,274.68,Auckland
O-01628,C-052,2025-03-15,2025-03-18,P-029,B-0264,24,47.28,Bay of Plenty
O-00031,C-006,2025-03-16,2025-03-18,P-011,B-0298,24,122.4,Canterbury
O-00943,C-038,2025-03-16,2025-03-16,P-022,B-0195,24,318.48,Wellington
O-00405,C-003,2025-03-17,,P-015,B-0173,72,485.28,Wellington
O-01232,C-042,2025-03-17,2025-03-17,P-006,B-0275,72,399.6,Wellington
O-01332,C-020,2025-03-17,2025-03-18,P-046,,12,157.68,Bay of Plenty
O-00655,C-066,2025-03-18,2025-03-19,P-003,,24,143.76,Auckland
O-01085,C-027,2025-03-18,2025-03-18,P-024,B-0274,12,64.08,Otago
O-01530,C-020,2025-03-18,2025-03-20,P-047,B-0160,24,308.16,Auckland
O-00408,C-032,2025-03-19,2025-03-19,P-001,B-0187,6,36.18,Auckland
O-01275,C-046,2025-03-19,2025-03-20,P-007,B-0249,24,137.76,Otago
O-01629,C-058,2025-03-19,2025-03-21,P-019,B-0107,12,70.56,Canterbury
O-00229,C-048,2025-03-20,2025-03-23,P-041,B-0149,24,171.36,Auckland
O-01105,C-069,2025-03-20,2025-03-23,P-017,B-0215,24,118.32,Bay of Plenty
O-01500,C-039,2025-03-20,2025-03-21,P-005,B-0001,24,119.28,Wellington
O-01675,C-008,2025-03-20,2025-03-20,P-014,B-0190,48,290.4,Wellington
O-00108,C-013,2025-03-21,2025-03-21,P-005,B-0265,24,119.28,Canterbury
O-00249,C-049,2025-03-21,2025-03-23,P-046,B-0122,12,157.68,Canterbury
O-00994,C-046,2025-03-21,2025-03-21,P-037,,12,88.68,Otago
O-00145,C-015,2025-03-22,2025-03-24,P-033,,24,191.52,Bay of Plenty
O-01113,C-008,2025-03-22,2025-03-25,P-011,B-0298,24,116.28,Wellington
O-00386,C-043,2025-03-23,2025-03-23,P-031,B-0013,48,145.46,Otago
O-00327,C-049,2025-03-24,2025-03-26,P-003,B-0157,72,431.28,Canterbury
O-00403,C-043,2025-03-24,2025-03-25,P-047,B-0162,24,308.16,Otago
O-01111,C-001,2025-03-24,2025-03-24,P-011,B-0298,24,122.4,Auckland
O-00025,C-029,2025-03-25,2025-03-26,P-040,B-0211,24,142.8,Bay of Plenty
O-00668,C-062,2025-03-25,2025-03-26,P-045,B-0179,12,58.08,Wellington
O-00669,C-006,2025-03-25,2025-03-27,P-037,B-0238,48,354.72,Wellington
O-00962,C-003,2025-03-25,2025-03-28,P-001,,24,144.72,Wellington
O-00588,C-019,2025-03-26,2025-03-28,P-031,B-0239,6,19.14,Canterbury
O-00802,C-068,2025-03-26,2025-03-29,P-013,B-0085,24,78.48,Waikato
O-00998,C-037,2025-03-26,2025-03-26,P-045,B-0074,36,174.24,Waikato
O-01103,C-021,2025-03-26,2025-03-26,P-015,B-0006,12,80.88,Auckland
O-01108,C-040,2025-03-26,2025-03-26,P-002,B-0172,24,87.6,Otago
O-01511,C-064,2025-03-26,2025-03-28,P-045,,24,110.35,Bay of Plenty
O-01537,C-031,2025-03-26,2025-03-28,P-018,B-0099,24,106.32,Canterbury
O-00622,C-013,2025-03-27,2025-03-27,P-003,B-0293,6,35.94,Canterbury
O-00933,C-062,2025-03-27,2025-03-28,P-031,B-0013,48,153.12,Wellington
O-01219,C-023,2025-03-27,2025-03-29,P-033,,36,302.4,Auckland
O-00160,C-053,2025-03-28,2025-03-31,P-036,B-0034,6,32.28,Wellington
O-00368,C-031,2025-03-28,2025-03-28,P-018,B-0099,24,106.32,Otago
O-00623,C-040,2025-03-28,2025-03-30,P-014,B-0190,36,217.8,Otago
O-01231,C-046,2025-03-28,2025-03-31,P-044,B-0186,36,178.2,Otago
O-01234,C-065,2025-03-28,2025-03-29,P-019,B-0166,6,35.28,Auckland
O-01312,C-067,2025-03-28,2025-03-31,P-003,B-0103,12,71.88,Otago
O-00649,C-035,2025-03-29,2025-04-01,P-030,B-0144,24,53.52,Bay of Plenty
O-00689,C-062,2025-03-29,2025-03-30,P-017,B-0198,36,177.48,Auckland
O-00715,C-010,2025-03-29,2025-03-29,P-046,,24,315.36,Canterbury
O-00945,C-041,2025-03-29,2025-04-01,P-049,B-0031,6,45.78,Auckland
O-01054,C-023,2025-03-29,2025-03-31,P-005,,6,29.82,Otago
O-00078,C-007,2025-03-30,2025-04-02,P-007,B-0062,48,275.52,Canterbury
O-00210,C-060,2025-03-30,2025-03-30,P-032,,36,148.68,Bay of Plenty
O-00659,C-054,2025-03-30,2025-03-30,P-002,B-0007,12,41.61,Wellington
O-00692,C-019,2025-03-30,2025-04-02,P-033,B-0236,36,302.4,Canterbury
O-01010,C-022,2025-03-30,2025-04-01,P-043,B-0184,36,216.36,Auckland
O-00683,C-057,2025-03-31,,P-033,B-0236,24,201.6,Auckland
O-01394,C-034,2025-03-31,2025-04-03,P-020,B-0068,24,151.2,Auckland
O-00074,C-025,2025-04-01,2025-04-04,P-028,,48,285.6,Canterbury
O-00233,C-013,2025-04-01,2025-04-04,P-001,B-0163,36,217.08,Canterbury
O-01303,C-008,2025-04-01,2025-04-04,P-012,B-0241,72,280.08,Wellington
O-00400,C-049,2025-04-02,2025-04-02,P-041,,12,81.4,Canterbury
O-00678,C-024,2025-04-03,2025-04-03,P-014,B-0050,24,145.2,Bay of Plenty
O-01100,C-015,2025-04-03,2025-04-05,P-019,,72,423.36,Auckland
O-01340,C-010,2025-04-03,2025-04-06,P-021,B-0229,48,470.4,Canterbury
O-01430,C-032,2025-04-03,2025-04-05,P-026,B-0212,6,12.9,Auckland
O-01719,C-041,2025-04-03,2025-04-05,P-051,B-0189,72,342.0,Auckland
O-00017,C-005,2025-04-04,,P-007,,36,206.64,Wellington
O-00953,C-022,2025-04-04,2025-04-07,P-025,,24,228.24,Bay of Plenty
O-01003,C-002,2025-04-04,2025-04-07,P-023,B-0232,12,63.6,Canterbury
O-01068,C-033,2025-04-04,2025-04-06,P-020,B-0124,36,226.8,Canterbury
O-01435,C-006,2025-04-04,2025-04-05,P-035,B-0049,48,189.12,Wellington
O-01519,C-032,2025-04-04,2025-04-05,P-010,B-0176,12,20.52,Auckland
O-01575,C-004,2025-04-04,2025-04-06,P-021,B-0024,6,58.8,Waikato
O-00302,C-029,2025-05-04,2025-05-06,P-008,B-0290,24,57.6,Bay of Plenty
O-00537,C-018,2025-04-05,2025-04-07,P-031,B-0192,72,229.68,Auckland
O-00741,C-020,2025-04-05,2025-04-07,P-009,B-0112,72,159.12,Auckland
O-00791,C-066,2025-04-05,2025-04-06,P-004,B-0066,36,69.43,Auckland
O-01019,C-054,2025-04-05,2025-04-08,P-006,B-0252,24,133.2,Auckland
O-01092,C-007,2025-04-05,2025-04-08,P-027,B-0032,72,230.4,Canterbury
O-01323,C-037,2025-04-05,2025-04-06,P-027,B-0032,24,72.96,Waikato
O-01354,C-050,2025-04-05,2025-04-07,P-009,B-0112,6,13.26,Canterbury
O-01472,C-005,2025-04-05,2025-04-07,P-014,B-0050,36,217.8,Auckland
O-00438,C-029,2025-04-06,2025-04-08,P-048,B-0218,12,79.69,Bay of Plenty
O-00566,C-001,2025-04-06,2025-04-08,P-020,B-0116,48,287.28,Auckland
O-00761,C-047,2025-04-06,2025-04-09,P-034,,24,66.96,Canterbury
O-01385,C-032,2025-04-06,,P-046,B-0078,24,299.59,Otago
O-01422,C-069,2025-04-06,2025-04-06,P-050,B-0200,36,147.6,Bay of Plenty
O-00637,C-016,2025-04-07,2025-04-08,P-045,B-0135,12,58.08,Canterbury
O-00666,C-048,2025-04-07,2025-04-09,P-028,B-0061,24,142.8,Auckland
O-01450,C-041,2025-04-07,2025-04-09,P-007,,24,130.87,Auckland
O-00310,C-032,2025-04-08,2025-04-08,P-006,B-0076,36,199.8,Auckland
O-00753,C-009,2025-04-08,2025-04-09,P-036,B-0004,72,387.36,Auckland
O-01238,C-018,2025-04-08,2025-04-11,P-008,,24,57.6,Auckland
O-00068,C-015,2025-04-09,2025-04-09,P-028,,72,428.4,Bay of Plenty
O-00362,C-027,2025-04-09,2025-04-09,P-043,,24,144.24,Otago
O-00490,C-051,2025-04-09,2025-04-10,P-040,,12,71.4,Otago
O-00723,C-056,2025-04-09,2025-04-11,P-042,,24,74.56,Canterbury
O-01463,C-031,2025-04-09,2025-04-12,P-031,B-0219,6,19.14,Otago
O-00217,C-022,2025-10-04,2025-10-04,P-037,B-0285,36,266.04,Canterbury
O-01341,C-045,2025-04-10,2025-04-12,P-035,B-0046,24,94.56,Bay of Plenty
O-00235,C-022,2025-04-11,2025-04-13,P-007,B-0052,6,34.44,Auckland
O-00713,C-033,2025-04-11,2025-04-13,P-004,,24,48.72,Canterbury
O-00763,C-070,2025-04-11,2025-04-13,P-049,B-0031,36,274.68,Otago
O-00934,C-035,2025-04-11,2025-04-14,P-007,B-0147,24,137.76,Canterbury
O-01036,C-016,2025-04-11,2025-04-13,P-010,,48,77.98,Canterbury
O-00510,C-065,2025-04-12,2025-04-15,P-009,B-0093,6,13.26,Auckland
O-00835,C-036,2025-04-12,2025-04-14,P-040,B-0033,48,271.32,Otago
O-01218,C-032,2025-04-12,2025-04-13,P-035,B-0039,24,94.56,Auckland
O-01595,C-006,2025-04-12,2025-04-13,P-028,B-0061,24,142.8,Wellington
O-00123,C-033,2025-04-13,2025-04-13,P-023,B-0079,6,31.8,Canterbury
O-00593,C-045,2025-04-13,2025-04-15,P-015,B-0173,24,161.76,Auckland
O-00656,C-044,2025-04-13,2025-04-16,P-023,B-0283,24,127.2,Otago
O-00765,C-032,2025-04-13,2025-04-15,P-038,B-0152,12,40.32,Auckland
O-01461,C-061,2025-04-13,2025-04-14,P-022,B-0259,48,636.96,Auckland
O-01768,C-064,2025-04-13,2025-04-16,P-032,,48,198.24,Bay of Plenty
O-00735,C-011,2025-04-14,2025-04-14,P-007,B-0127,12,65.44,Otago
O-01198,C-070,2025-04-14,2025-04-17,P-020,B-0124,24,151.2,Otago
O-01486,C-006,2025-04-14,2025-04-16,P-043,B-0002,72,432.72,Wellington
O-00121,C-068,2025-04-15,2025-04-17,P-032,B-0092,24,99.12,Waikato
O-00292,C-042,2025-04-15,2025-04-17,P-024,B-0278,48,256.32,Wellington
O-00811,C-010,2025-04-15,2025-04-18,P-047,,72,924.48,Canterbury
O-01693,C-032,2025-04-15,2025-04-17,P-013,B-0205,48,156.96,Auckland
O-00084,C-040,2025-04-16,2025-04-16,P-042,B-0072,72,235.44,Otago
O-00156,C-057,2025-04-16,2025-04-18,P-016,B-0005,24,139.08,Auckland
O-00269,C-008,2025-04-16,2025-04-18,P-011,B-0298,36,183.6,Wellington
O-00107,C-059,2025-04-17,2025-04-17,P-038,B-0242,24,80.64,Wellington
O-01779,C-009,2025-04-17,2025-04-17,P-029,,24,47.28,Auckland
O-00014,C-016,2025-04-18,2025-04-19,P-008,B-0169,24,54.72,Canterbury
O-01163,C-032,2025-04-18,2025-04-20,P-029,B-0222,72,141.84,Bay of Plenty
O-01700,C-064,2025-04-18,2025-04-18,P-018,B-0099,6,26.58,Auckland
O-00307,C-029,2025-04-19,2025-04-20,P-034,B-0086,24,66.96,Bay of Plenty
