batch_id,product_id,supplier_id,batch_number,manufacture_date,expiry_date,quantity_received,quantity_remaining,warehouse_location,quality_status,document_status
B-0109,P-044,S-01,SP-2512-D,2025-12-12,2026-09-13,120,0,A3-C6,Passed,Complete
B-0110,P-001,S-01,YD-2503-A,2025-03-30,2025-05-06,480,0,C2-B2,Passed,
B-0111,P-042,S-07,O7-2602-D,2026-02-02,2027-02-15,480,42,A2-A2,,Complete
B-0112,P-009,S-08,K3-2508-D,2025-08-31,2025-11-27,120,0,C2-B6,Passed,Complete
B-0113,P-043,S-01,CW-2501-D,2025-01-31,2025-08-30,240,0,A2-D2,Passed,Incomplete
B-0114,P-050,S-10,,2026-01-22,2026-09-03,240,32,A2-C3,Passed,
B-0115,P-048,S-11,AB-2603-D,2026-03-28,2027-01-14,480,0,A2-B5,Passed,Incomplete
B-0116,P-020,S-07,,2025-06-11,2026-07-04,120,0,F2-C1,Passed,Incomplete
B-0117,P-004,S-01,CS-2607-B,2026-07-14,2026-09-25,600,600,C1-B2,,Complete
B-0118,P-049,S-04,G4-2509-C,2025-09-20,2026-08-14,600,0,A2-C5,Pending,Complete
B-0119,P-047,S-01,CS-2512-B,2025-12-08,2026-12-27,240,0,A3-D3,Passed,Complete
B-0120,P-025,S-06,PT-2509-C,2025-09-23,2026-10-25,600,0,F2-B6,Passed,Complete
B-0121,P-047,S-09,CS-2507-A,2025-07-22,2026-08-10,600,0,A1-D2,Failed,Complete
B-0122,P-046,S-11,PP-2510-D,2025-10-22,2026-07-28,480,0,A1-C5,,Complete
B-0123,P-045,S-04,N5-2507-C,2025-07-17,2026-01-10,120,0,A2-D5,Passed,Complete
B-0124,P-020,S-07,BC-2504-D,2025-04-07,,960,0,F1-A4,Failed,Complete
B-0125,P-022,S-14,VC-2504-D,2025-04-22,2026-06-01,120,0,F3-A2,Hold,Complete
B-0126,P-014,S-04,PB-2602-D,2026-02-26,2027-03-20,120,0,A3-A5,Passed,Complete
B-0127,P-007,S-01,C6-2504-C,2025-04-02,2025-05-28,600,0,C2-D4,Passed,Complete
B-0128,P-025,S-03,PT-2510-D,2025-10-08,2026-09-18,240,0,F1-A1,Hold,Complete
B-0129,P-049,S-09,G4-2601-D,2026-01-26,2026-07-17,240,4,A2-D1,Passed,Complete
B-0130,P-006,S-01,C3-2509-C,2025-09-20,2025-11-30,600,0,C2-C4,Passed,Complete
B-0131,P-016,S-03,PB-2606-C,2026-06-06,2027-04-04,600,339,A2-D3,Passed,Incomplete
B-0132,P-042,S-04,O7-2506-D,2025-06-03,2026-01-15,360,0,A3-D5,Passed,Complete
B-0133,P-018,S-09,NB-2602-B,2026-02-21,2026-10-22,120,26,A3-B4,Passed,Incomplete
B-0134,P-005,S-01,M2-2603-B,2026-03-09,2026-05-26,480,0,C2-D5,Passed,Missing
B-0135,P-045,S-09,N5-2502-A,2025-02-21,2026-02-08,360,0,A3-A5,,Complete
B-0136,P-026,S-05,SB-2512-B,2025-12-20,2027-01-21,480,0,A2-C4,Passed,Complete
B-0137,P-045,S-02,N5-2601-A,2026-01-03,2026-06-08,480,0,A1-D3,Passed,Complete
B-0138,P-045,S-06,N5-2503-A,2025-03-24,2025-11-05,120,0,A1-B3,Passed,
B-0139,P-015,S-01,,2025-07-22,,960,0,A1-B3,Passed,Incomplete
B-0140,P-005,S-01,M2-2507-D,2025-07-25,2025-09-21,360,0,C3-A3,Passed,Complete
B-0141,P-012,S-06,SL-2511-A,2025-11-15,2026-01-28,600,0,C2-D5,Passed,Complete
B-0142,P-012,S-03,SL-2507-C,2025-07-11,2025-09-19,240,0,C2-B2,Passed,
B-0143,P-033,S-08,TS-2603-D,2026-03-09,2027-01-28,480,115,A1-C2,Passed,Complete
B-0144,P-030,S-05,PS-2606-C,2026-06-06,2027-03-23,600,320,A1-D1,Passed,Complete
B-0145,P-016,S-02,PB-2510-D,2025-10-13,2026-07-05,360,0,A3-C6,Passed,Complete
B-0146,P-040,S-09,BR-2508-C,2025-08-03,2026-07-27,240,0,A3-C5,,Complete
B-0147,P-007,S-03,C6-2607-B,2026-07-12,2026-10-05,480,480,C3-D4,Passed,Complete
B-0148,P-041,S-12,CC-2604-C,2026-04-22,2026-10-08,960,27,A3-A6,Passed,
B-0149,P-041,S-07,CC-2601-B,2026-01-16,2027-01-18,120,9,A1-D3,Pending,Incomplete
B-0150,P-003,S-08,B5-2607-D,2026-07-13,2026-10-09,480,327,C1-C2,Pending,Missing
B-0151,P-006,S-01,C3-2509-D,2025-09-28,2025-11-07,360,0,C1-A1,Passed,Complete
B-0152,P-038,S-14,SS-2601-A,2026-01-06,2026-09-26,120,0,A2-A6,Passed,Complete
B-0153,P-024,S-03,D5-2506-A,2025-06-04,2026-06-06,240,0,F3-B6,Passed,Missing
B-0154,P-040,S-10,BR-2508-D,2025-08-25,2026-02-13,120,0,A3-A2,Passed,Complete
B-0155,P-039,S-10,PP-2604-B,2026-04-24,2026-09-27,960,290,A1-D4,Passed,Complete
B-0156,P-039,S-14,PP-2511-D,2025-11-02,2026-07-02,360,0,A1-A5,Passed,Complete
B-0157,P-003,S-07,B5-2602-D,2026-02-26,2026-05-04,360,133,C2-A5,Hold,
B-0158,P-010,S-02,IC-2602-C,2026-02-19,2026-05-02,960,335,C1-D1,Passed,Complete
B-0159,P-020,S-03,BC-2507-D,2025-07-13,2026-05-09,120,0,F1-C2,Passed,Missing
B-0160,P-047,S-05,CS-2502-A,2025-02-14,2025-10-07,480,0,A1-C2,Passed,Complete
B-0161,P-037,S-14,PS-2505-A,2025-05-13,2025-12-07,960,0,A1-D2,Passed,Complete
B-0162,P-047,S-01,CS-2504-B,2025-04-04,2026-01-25,360,0,A2-C3,Passed,Complete
B-0163,P-001,S-01,YD-2511-D,2025-11-09,2026-01-19,360,0,C1-B1,Hold,Complete
B-0164,P-035,S-07,A2-2501-C,2025-01-24,2026-02-21,360,0,A1-B6,Passed,Complete
B-0165,P-015,S-12,PB-2607-A,2026-07-01,2027-03-13,960,744,A3-A4,Passed,Complete
B-0166,P-019,S-06,EB-2507-C,2025-07-19,2026-08-10,480,0,A3-A2,Passed,Complete
B-0167,P-021,S-14,L4-2601-A,2026-01-16,2026-12-05,480,0,F3-A2,Failed,Complete
B-0168,P-006,S-01,C3-2601-B,2026-01-14,2026-03-15,600,0,C1-A4,Passed,Incomplete
B-0169,P-008,S-06,OJ-2608-A,2026-08-20,2026-10-08,240,240,C1-B6,Passed,Complete
B-0170,P-022,S-12,VC-2511-D,2025-11-20,2026-08-29,240,0,F1-C3,Passed,Complete
B-0171,P-040,S-09,BR-2509-D,2025-09-23,2026-08-04,360,0,A3-B6,,Complete
B-0172,P-002,S-01,GY-2601-C,2026-01-17,2026-03-23,600,22,C2-A4,Passed,Incomplete
B-0173,P-015,S-14,PB-2504-A,2025-04-27,2025-11-26,960,0,A2-C2,Passed,Complete
B-0174,P-048,S-10,AB-2502-B,2025-02-12,2026-01-08,960,0,A2-C2,Passed,Complete
B-0175,P-015,S-10,PB-2502-B,2025-02-04,2025-11-15,480,0,A2-A1,Passed,Incomplete
B-0176,P-010,S-07,IC-2601-A,2026-01-23,2026-03-03,360,114,C2-D6,Passed,Incomplete
B-0177,P-036,S-07,BS-2601-C,2026-01-15,2026-08-10,960,151,A3-D5,Passed,Complete
B-0178,P-040,S-02,BR-2603-B,2026-03-19,2026-09-11,480,0,A3-C4,Passed,Complete
B-0179,P-045,S-08,N5-2508-D,2025-08-16,2026-08-02,120,0,A3-D1,Failed,Incomplete
B-0180,P-037,S-01,PS-2509-C,2025-09-02,2026-03-12,480,0,A2-B6,Passed,
B-0181,P-006,S-01,C3-2605-D,2026-05-24,2026-08-12,120,92,C3-C6,Passed,Complete
B-0182,P-004,S-01,CS-2606-D,2026-06-01,2026-07-15,120,53,C1-D1,Passed,Complete
B-0183,P-032,S-06,P1-2510-D,2025-10-13,2026-04-04,960,0,A1-C5,Passed,Incomplete
B-0184,P-043,S-10,CW-2601-B,2026-01-29,2026-09-24,600,7,A3-D5,Pending,Complete
B-0185,P-006,S-10,C3-2502-B,2025-02-19,2025-04-27,600,0,C1-B2,Passed,Complete
B-0186,P-044,S-12,SP-2506-A,2025-06-15,2026-06-13,600,0,A3-D1,Passed,Complete
B-0187,P-001,S-01,YD-2408-A,2026-06-08,2026-08-07,480,152,C2-A4,Passed,Incomplete
B-0188,P-037,S-10,PS-2502-D,2025-02-22,2025-09-04,360,0,A3-D3,Pending,Complete
B-0189,P-051,S-14,CP-2510-B,2025-10-29,2026-10-29,480,0,A2-D5,Passed,Complete
B-0190,P-014,S-14,PB-2603-A,2026-03-07,2027-02-09,480,170,A1-A2,Passed,Incomplete
B-0191,P-004,S-01,CS-2607-D,2026-07-21,2026-08-28,360,262,C2-D5,Passed,
B-0192,P-031,S-12,VC-2601-A,2026-01-08,2026-09-03,240,0,A1-B6,Passed,Complete
B-0193,P-042,S-03,O7-2502-B,2025-02-04,2026-02-10,960,0,A2-C4,Pending,Missing
B-0194,P-030,S-07,PS-2601-A,2026-01-14,2026-08-29,960,75,A3-C3,Passed,Complete
B-0195,P-022,S-11,VC-2512-C,2025-12-13,2026-11-18,360,25,F3-D6,Passed,Complete
B-0196,P-002,S-01,GY-2511-B,2025-11-13,2026-01-03,480,0,C2-C5,Passed,Complete
B-0197,P-043,S-05,CW-2507-B,2025-07-19,2026-03-01,120,0,A1-C4,Passed,Complete
B-0198,P-017,S-11,MB-2605-A,2026-05-04,2027-05-06,120,46,A3-C4,Passed,Missing
B-0199,P-009,S-14,,2025-12-31,2026-03-02,600,0,C3-A1,Passed,Complete
B-0200,P-050,S-07,KS-2603-D,2026-03-30,2026-10-06,480,0,A1-C1,Pending,Incomplete
B-0201,P-034,S-06,SC-2604-C,2026-04-27,2026-09-25,960,267,A1-C3,Passed,Complete
B-0202,P-034,S-03,SC-2506-D,2025-06-01,2026-01-24,480,0,A1-B1,Passed,Complete
B-0203,P-003,S-11,B5-2510-A,2025-10-03,2025-12-26,600,0,C2-A5,Passed,Incomplete
B-0204,P-014,S-09,PB-2501-C,2025-01-24,2025-09-08,480,0,A3-A3,Passed,Complete
B-0205,P-013,S-07,OM-2510-C,2025-10-11,2026-01-07,600,0,C2-C2,Passed,Complete
B-0206,P-008,S-12,OJ-2606-A,2026-06-04,2026-07-18,120,61,C2-D1,Passed,Complete
B-0207,P-003,S-01,B5-2601-A,2026-01-18,2026-04-14,960,0,C2-C6,Passed,Incomplete
B-0208,P-012,S-08,SL-2606-D,2026-06-18,2026-08-21,360,290,C1-B1,Passed,Complete
B-0209,P-037,S-14,PS-2507-B,2025-07-19,2026-05-21,480,0,A1-C6,Passed,Incomplete
B-0210,P-044,S-12,,2025-09-01,2026-10-06,960,0,A3-D2,Failed,Complete
B-0211,P-040,S-14,BR-2508-D,2025-08-28,2026-09-21,240,0,A2-A5,Passed,Complete
B-0212,P-026,S-14,,2025-04-05,2025-12-28,480,0,A1-D4,Passed,Complete
B-0213,P-006,S-01,C3-2511-C,2025-11-22,2026-01-28,600,0,C3-D6,Passed,Incomplete
B-0214,P-008,S-11,OJ-2608-C,2026-08-05,2026-09-23,120,109,C2-B6,Passed,Complete
B-0215,P-017,S-13,MB-2507-B,2025-07-26,2026-01-22,480,0,A3-A4,Passed,Complete
B-0216,P-033,S-07,TS-2604-D,2026-04-04,2026-09-02,600,0,A1-B1,Passed,Complete
B-0217,P-021,S-05,L4-2602-D,2026-02-12,2027-02-24,600,218,F2-C6,Passed,Complete
B-0218,P-048,S-11,AB-2508-C,2025-08-25,2026-03-14,240,0,A1-C6,Passed,Complete
B-0219,P-031,S-14,VC-2603-D,2026-03-18,,960,294,A1-A6,Passed,Complete
B-0220,P-051,S-12,CP-2509-C,2025-09-16,2026-08-06,360,0,A3-B6,Passed,Complete
B-0221,P-033,S-07,TS-2511-D,2025-11-05,2026-09-28,960,0,A1-C2,Passed,Incomplete
B-0222,P-029,S-04,TM-2601-B,2026-01-26,2027-01-04,600,96,A1-A4,Passed,Complete
B-0223,P-017,S-12,MB-2509-B,2025-09-12,2026-09-13,360,0,A3-C4,Passed,Complete
B-0224,P-005,S-03,M2-2512-D,2025-12-06,2026-02-12,240,0,C3-C3,Passed,Complete
B-0225,P-049,S-06,G4-2605-D,2026-05-16,2027-03-05,960,1011,A1-C4,Pending,
B-0226,P-025,S-06,PT-2510-D,2025-10-24,2026-10-01,120,0,F1-A2,,Incomplete
B-0227,P-035,S-14,A2-2512-D,2025-12-18,2026-07-09,960,68,A3-D6,Passed,Complete
B-0228,P-044,S-01,SP-2509-B,2025-09-29,2026-08-28,360,0,A2-D4,Passed,Complete
B-0229,P-021,S-10,L4-2511-A,2025-11-29,2026-09-25,600,0,F3-A3,Passed,Complete
B-0230,P-006,S-01,C3-2606-B,2026-06-28,2026-08-26,480,278,C3-B3,Passed,Missing
B-0231,P-051,S-03,CP-2602-A,2026-02-01,2027-03-03,120,25,A1-C2,Passed,Missing
B-0232,P-023,S-10,FP-2508-C,2025-08-16,2026-09-21,240,0,F3-D6,Passed,Complete
B-0233,P-005,S-01,M2-2605-B,2026-05-06,2026-07-26,600,413,C2-C5,Passed,Complete
B-0234,P-010,S-06,IC-2601-B,2026-01-23,2026-04-19,360,0,C2-B6,Passed,Missing
B-0235,P-030,S-10,PS-2511-A,2025-11-23,2026-08-24,600,0,A2-A6,Passed,Complete
B-0236,P-033,S-09,TS-2603-C,2026-03-05,2027-02-14,600,0,A2-D2,Pending,Complete
B-0237,P-019,S-01,EB-2511-B,2025-11-27,2026-09-03,120,0,A3-B4,Passed,Complete
B-0238,P-037,S-01,PS-2506-B,2025-06-13,2026-05-17,960,0,A3-B5,Pending,Complete
B-0239,P-031,S-09,VC-2503-C,2025-03-03,2025-08-10,960,0,A3-D3,Passed,Missing
B-0240,P-005,S-08,M2-2602-D,2026-02-04,2026-03-25,600,17,C1-A5,Passed,Complete
B-0241,P-012,S-13,SL-2606-C,2026-06-28,2026-09-16,120,80,C1-D1,Passed,Complete
B-0242,P-038,S-03,SS-2512-C,2025-12-12,2026-09-19,120,0,A3-A6,Passed,Incomplete
B-0243,P-006,S-01,,2026-07-13,2026-09-16,480,347,C2-B6,Passed,Missing
B-0244,P-039,S-04,PP-2509-D,2025-09-07,2026-05-11,480,0,A3-A5,Passed,Complete
B-0245,P-031,S-07,VC-2501-C,2025-01-16,2026-01-30,960,0,A2-D3,Passed,Incomplete
B-0246,P-049,S-04,G4-2504-A,2025-04-25,2026-01-08,240,0,A3-A5,Passed,Complete
B-0247,P-025,S-11,PT-2512-C,2025-12-04,2026-12-13,360,0,F3-D2,Passed,Incomplete
B-0248,P-031,S-10,VC-2511-C,2025-11-22,2026-09-10,480,0,A1-B4,Passed,
B-0249,P-007,S-01,C6-2605-B,2026-05-28,2026-08-21,360,254,C2-D1,Passed,Complete
B-0250,P-006,S-10,C3-2602-A,2026-02-12,2026-04-13,600,177,C1-C2,Passed,Complete
B-0251,P-034,S-01,SC-2507-B,2025-07-07,2026-05-25,120,194,A2-B5,Passed,Incomplete
B-0252,P-006,S-01,,2026-01-06,2026-03-04,360,0,C1-C3,Hold,Incomplete
B-0253,P-017,S-13,MB-2509-B,2025-09-28,2026-08-21,480,0,A3-A4,Passed,Complete
B-0254,P-041,S-07,CC-2508-C,2025-08-28,2026-07-17,960,0,A1-D6,Passed,Complete
B-0255,P-036,S-05,BS-2605-B,2026-05-17,2027-01-02,360,196,A1-B6,Passed,Complete
B-0256,P-015,S-02,PB-2508-A,2025-08-02,2026-08-01,600,0,A3-A4,Passed,Complete
B-0257,P-037,S-13,PS-2606-B,2026-06-01,2026-12-14,600,332,A3-C4,Failed,Incomplete
B-0258,P-030,S-11,PS-2606-B,2026-06-29,2027-03-23,360,206,A1-C2,Passed,
B-0259,P-022,S-06,VC-2606-C,2026-06-09,2027-06-22,240,184,F3-B1,Passed,Incomplete
B-0260,P-036,S-01,BS-2602-B,2026-02-09,2026-08-28,240,0,A3-C4,Passed,Complete
B-0261,P-037,S-05,PS-2508-D,2025-08-21,2026-07-13,240,0,A2-C3,Passed,Complete
B-0262,P-044,S-03,SP-2508-C,2025-08-06,2026-05-30,600,0,A1-D5,Passed,Complete
B-0263,P-010,S-14,IC-2512-A,2025-12-26,2026-02-25,960,74,C3-C5,Passed,Complete
B-0264,P-029,S-07,TM-2601-B,2026-01-21,2026-12-28,600,74,A3-A2,Passed,Complete
B-0265,P-005,S-01,M2-2605-A,2026-05-14,2026-07-23,120,14,C2-C2,Passed,Complete
